mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__metric,param_classifier__n_neighbors,param_classifier__weights,param_classifier__gamma,param_classifier__var_smoothing,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.0902862548828125,0.004276446805272012,0.028982222080230713,0.004616969330974844,LogisticRegression(),0.001,,,,,,,,,,,"{'classifier': LogisticRegression(), 'classifier__C': 0.001}",0.6946032181422872,0.6831140616056817,0.6635539761720263,0.6517065353962694,0.6732444478290661,0.016668782636197553,12
0.09018182754516602,0.005062186459593163,0.026455938816070557,0.002788151801504918,LogisticRegression(),0.01,,,,,,,,,,,"{'classifier': LogisticRegression(), 'classifier__C': 0.01}",0.6961824393825105,0.6832631986263272,0.6659856079684876,0.6519270729007967,0.6743395797195305,0.01679918746969173,6
0.096493661403656,0.009424005863967739,0.03225630521774292,0.007208810530748743,LogisticRegression(),0.1,,,,,,,,,,,"{'classifier': LogisticRegression(), 'classifier__C': 0.1}",0.6968318764698052,0.6819653034736833,0.6673457074131472,0.6514394624550073,0.6743955874529108,0.016862474232591,5
0.07318836450576782,0.026896841198590378,0.025149762630462646,0.0017698195696147238,LogisticRegression(),1.0,,,,,,,,,,,"{'classifier': LogisticRegression(), 'classifier__C': 1}",0.6970799533696104,0.6818443815650519,0.667244809828232,0.6515831153249286,0.6744380650219557,0.016893787901325386,4
0.05494105815887451,0.00641103161988796,0.023826241493225098,0.002393272040371871,LogisticRegression(),10.0,,,,,,,,,,,"{'classifier': LogisticRegression(), 'classifier__C': 10}",0.6970981053378889,0.6818121357227502,0.6672246303112488,0.6516599999595344,0.6744487178328555,0.01687252041193047,3
0.06224924325942993,0.005057078978347285,0.024258732795715332,0.0029298336485152603,LogisticRegression(),100.0,,,,,,,,,,,"{'classifier': LogisticRegression(), 'classifier__C': 100}",0.6971162573061672,0.6818181818181819,0.6672508636833268,0.6516620232393925,0.6744618315117671,0.016875783035051394,2
0.058851003646850586,0.005187270496896593,0.02706003189086914,0.0010746166352112398,LogisticRegression(),1000.0,,,,,,,,,,,"{'classifier': LogisticRegression(), 'classifier__C': 1000}",0.6971162573061672,0.6818181818181819,0.6672508636833268,0.6516660697991086,0.6744628431516961,0.016874416307639497,1
0.06731230020523071,0.005335893066146739,0.05901288986206055,0.005209073507865934,KNeighborsClassifier(),,cityblock,3.0,uniform,,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__metric': 'cityblock', 'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}",0.6020271714796275,0.6090050545357808,0.5922546977915537,0.5942109916701568,0.5993744788692796,0.0066546534170354825,416
0.062403976917266846,0.005056873089991372,0.06407994031906128,0.009366813144085414,KNeighborsClassifier(),,cityblock,3.0,distance,,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__metric': 'cityblock', 'classifier__n_neighbors': 3, 'classifier__weights': 'distance'}",0.5843320277362074,0.5942838198424791,0.5919358614232209,0.5884901678715299,0.5897604692183593,0.003750822394842292,425
0.06489413976669312,0.002978847646346926,0.05589652061462402,0.004146180743679696,KNeighborsClassifier(),,cityblock,5.0,uniform,,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__metric': 'cityblock', 'classifier__n_neighbors': 5, 'classifier__weights': 'uniform'}",0.6356849544385595,0.6350717873064242,0.61471853609712,0.6123102416403134,0.6244463798706043,0.010967242555933463,363
0.05961257219314575,0.002757690040035852,0.0523800253868103,0.0021809283086977904,KNeighborsClassifier(),,cityblock,5.0,distance,,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__metric': 'cityblock', 'classifier__n_neighbors': 5, 'classifier__weights': 'distance'}",0.5917007184145667,0.6068355139584191,0.5988523908691722,0.5996698007271668,0.5992646059923312,0.0053587579437993785,418
0.055352091789245605,0.005499716185922217,0.05972552299499512,0.0049614156965291515,KNeighborsClassifier(),,cityblock,8.0,uniform,,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__metric': 'cityblock', 'classifier__n_neighbors': 8, 'classifier__weights': 'uniform'}",0.657280754476477,0.6415632784347868,0.6191025361616944,0.6176436073461244,0.6338975441047707,0.016497126494450665,317
0.06550270318984985,0.007881567260196317,0.05690699815750122,0.004543872129544981,KNeighborsClassifier(),,cityblock,8.0,distance,,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__metric': 'cityblock', 'classifier__n_neighbors': 8, 'classifier__weights': 'distance'}",0.5977856615585684,0.6063407418156022,0.6008198937750227,0.6032702272345609,0.6020541310959385,0.003146311143073184,408
0.06184357404708862,0.006934193687734936,0.05913287401199341,0.0028774903577257985,KNeighborsClassifier(),,cityblock,10.0,uniform,,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__metric': 'cityblock', 'classifier__n_neighbors': 10, 'classifier__weights': 'uniform'}",0.6577043004029738,0.6418333373640636,0.6263046057729561,0.6216203639071153,0.6368656518617771,0.01416758334706297,290
0.06017768383026123,0.0045823038807135865,0.06424534320831299,0.00646518552140147,KNeighborsClassifier(),,cityblock,10.0,distance,,,,,,,,"{'classifier': KNeighborsClassifier(), 'classifier__metric': 'cityblock', 'classifier__n_neighbors': 10, 'classifier__weights': 'distance'}",0.5937760934544003,0.604541020742138,0.6007058795040682,0.6026946041149465,0.6004293994538883,0.004073680882059807,413
